Test Case,Input Value,Result,Timestamp
 02 Register account profile details ," Email id: 'tester1@gmail.com' , password: 123456   ",Failed ,2026-08-03T12:03:52.976Z
 03  Pincode validation ," 313001, 312604  ",Failed ,2026-08-03T12:03:54.993Z
 05 Create ticket  ,   ,Failed ,2026-08-03T12:03:59.010Z
  06 view all creaed  ticket    ,   ,Failed ,2026-08-03T12:04:01.023Z
04 Tract order of a user , pincode  ,Failed ,2026-08-03T12:03:56.997Z
 07 call back form  ,   ,Failed ,2026-08-03T12:04:03.026Z
 12 Notify lead form ,   ,Failed ,2026-08-03T12:03:57.170Z
 08 Custom furniture lead  ,   ,Failed ,2026-08-03T12:04:04.111Z
09 furniture franchisee lead   ,   ,Failed ,2026-08-03T12:04:06.123Z
01 Register form ," usernaem:' teter', mobile no : '9314444151,  Email id: 'tester151@gmail.com' , password: 123456   ",Failed ,2026-08-03T12:03:50.968Z
10 Hotel furniture lead form   ,   ,Failed ,2026-08-03T12:04:08.134Z
11 media  lead form   ,   ,Failed ,2026-08-03T12:04:10.150Z
 12 Notify lead form ,   ,Failed ,2026-08-03T12:04:12.158Z
